school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18375,G.M.U.P.S. Ozhukur,UPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 7,1204,482,722,51,19,17,10,5,0,2,53,ok,true,false,false,https://sametham.kite.kerala.gov.in/18375,2026-08-14T10:06:04.198507+00:00
18380,G.M.U.P.S. Vazhakkad,UPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 7,469,223,246,27,8,10,7,2,0,1,28,ok,true,false,false,https://sametham.kite.kerala.gov.in/18380,2026-08-14T10:06:06.204630+00:00
18384,G.M.U.P.S. Kondotty,UPS,Government,Malappuram,Kondotty,Kondotty (M),5 -7,811,0,811,35,0,20,8,7,0,0,35,ok,true,false,false,https://sametham.kite.kerala.gov.in/18384,2026-08-14T10:06:08.169648+00:00
18388,G.U.P.S. Neerad,UPS,Government,Malappuram,Kondotty,Kondotty (M),5 -7,142,0,142,7,0,4,3,0,0,0,7,ok,true,false,false,https://sametham.kite.kerala.gov.in/18388,2026-08-14T10:06:10.172406+00:00
18434,G.L.P.S. Choonur,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,166,166,0,8,6,0,1,1,0,1,9,ok,true,false,false,https://sametham.kite.kerala.gov.in/18434,2026-08-14T10:06:12.174391+00:00
18435,G.L.P.S. Kodur,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,63,63,0,3,1,0,1,1,0,1,4,ok,true,false,false,https://sametham.kite.kerala.gov.in/18435,2026-08-14T10:06:14.176802+00:00
18436,G.L.P.S. Kottakkal,LPS,Government,Malappuram,Malappuram,Kottakkal (M),1 - 4,120,120,0,4,2,0,2,0,0,1,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18436,2026-08-14T10:06:16.178796+00:00
18437,G.L.P.S. Malappruam,LPS,Government,Malappuram,Malappuram,Malappuram (M),1 - 4,261,261,0,12,8,0,2,2,0,1,13,ok,true,false,false,https://sametham.kite.kerala.gov.in/18437,2026-08-14T10:06:22.294833+00:00
18438,G.L.P.S. Melmuri North,LPS,Government,Malappuram,Malappuram,Malappuram (M),1 - 4,227,227,0,9,4,0,1,4,0,0,9,ok,true,false,false,https://sametham.kite.kerala.gov.in/18438,2026-08-14T10:06:22.336353+00:00
18439,G.L.P.S. Melmuri South,LPS,Government,Malappuram,Malappuram,Malappuram (M),1 - 4,86,86,0,5,4,0,1,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18439,2026-08-14T10:06:24.370220+00:00
18440,G.L.P.S. Paranki Moochikkal,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,367,367,0,12,9,0,3,0,0,1,13,ok,true,false,false,https://sametham.kite.kerala.gov.in/18440,2026-08-14T10:06:26.361106+00:00
18441,G.L.P.S. Peringottupulam,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,81,81,0,5,2,0,2,1,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18441,2026-08-14T10:06:28.358263+00:00
18442,G.L.P.S. Pookottur New,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,214,214,0,10,8,0,2,0,0,1,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18442,2026-08-14T10:06:30.360075+00:00
18443,G.L.P.S. Pookottur Old,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,356,356,0,15,11,0,3,1,0,1,16,ok,true,false,false,https://sametham.kite.kerala.gov.in/18443,2026-08-14T10:06:32.362329+00:00
18444,G.L.P.S. Vadakkemanna,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,54,54,0,5,3,0,2,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18444,2026-08-14T10:06:34.362733+00:00
18446,G.M.L.P.S. Athanikkal,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,69,69,0,5,3,0,2,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18446,2026-08-14T10:06:36.364254+00:00
18447,G.M.L.P.S. Chappanangadi,LPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 4,257,257,0,12,9,0,3,0,0,0,12,ok,true,false,false,https://sametham.kite.kerala.gov.in/18447,2026-08-14T10:06:38.359603+00:00
