school_code,school_name,category,sub_district,students_lp,students_up,divisions_lp,divisions_up,divisions_total,staff_lp,staff_up,staff_lp_up_shared,staff_counted,imbalance,verdict,fixation_2026_27
18326,G.M.L.P.S. Kumminiparamba,LPS,Kondotty,170,0,8,0,8,6,0,2,8,0,balanced,
18329,G.M.L.P.S. Mapprom,LPS,Kondotty,84,0,4,0,4,2,0,2,4,0,balanced,
18332,G.M.L.P.S. Morayur,LPS,Kondotty,269,0,11,0,11,8,0,3,11,0,balanced,
18339,G.M.L.P.S. Nediyiruppu,LPS,Kondotty,50,0,4,0,4,3,0,1,4,0,balanced,
18346,G.L.P.S. Panikkarapuraya,LPS,Kondotty,107,0,6,0,6,5,0,1,6,0,balanced,
18354,G.L.P.S. Thadathilparamba,LPS,Kondotty,134,0,7,0,7,5,0,2,7,0,balanced,
18368,G.H.S. Chaliyappuram,HS,Kondotty,322,340,13,12,25,11,10,4,25,0,balanced,
18441,G.L.P.S. Peringottupulam,LPS,Malappuram,81,0,4,0,4,2,0,2,4,0,balanced,
18443,G.L.P.S. Pookottur Old,LPS,Malappuram,356,0,14,0,14,11,0,3,14,0,balanced,
18506,G.L.P.S. Chalippadam,LPS,Manjeri,99,0,6,0,6,5,0,1,6,0,balanced,
18514,G.M.L.P.S. Edavanna,LPS,Manjeri,160,0,8,0,8,7,0,1,8,0,balanced,
18521,G.L.P.S. Karuvambrum West,LPS,Manjeri,58,0,4,0,4,3,0,1,4,0,balanced,
18528,G.M.L.P.S. Mangalasseri,LPS,Manjeri,322,0,13,0,13,11,0,2,13,0,balanced,
18533,G.M.L.P.S. Manjeri,LPS,Manjeri,48,0,4,0,4,3,0,1,4,0,balanced,
18534,G.M.L.P.S. Manjeri South,LPS,Manjeri,34,0,4,0,4,3,0,1,4,0,balanced,
18555,G.L.P.S. Thottupoyil,LPS,Manjeri,154,0,8,0,8,7,0,1,8,0,balanced,
18562,G.U.P.S. Vettekkode,UPS,Manjeri,147,171,8,7,15,8,4,3,15,0,balanced,received teachers
18565,G.L.P.S. Cherankuth,UPS,Manjeri,69,22,4,1,5,4,0,1,5,0,balanced,
18567,G.M.L.P.S. Pandikkad,UPS,Manjeri,152,27,7,1,8,6,0,2,8,0,balanced,
18568,G.L.P.S. Pookkuth,UPS,Manjeri,167,43,8,2,10,8,0,2,10,0,balanced,
18572,G.U.P.S. Elankur,UPS,Manjeri,249,201,11,8,19,9,7,3,19,0,balanced,received teachers
18574,G U P S Pullur,UPS,Manjeri,324,611,13,19,32,11,14,7,32,0,balanced,
18588,G.M.U.P.S. Vettikattiri,UPS,Manjeri,0,198,0,8,8,0,5,3,8,0,balanced,lost posts
18590,GLPS ANAKKOTTUPURAM,LPS,Manjeri,174,0,8,0,8,6,0,2,8,0,balanced,
18607,G L P S Chovana,LPS,Mankada,113,0,6,0,6,4,0,2,6,0,balanced,received teachers
18628,G L P S Pang,LPS,Mankada,111,0,5,0,5,4,0,1,5,0,balanced,
18653,G L P S Vellila,LPS,Mankada,326,0,13,0,13,11,0,2,13,0,balanced,
18657,G L P S Padinhattummuri,UPS,Mankada,354,84,14,3,17,15,0,2,17,0,balanced,
18664,G U P S Mankada Pallippuram,UPS,Mankada,317,330,13,11,24,11,7,6,24,0,balanced,
