school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
19673,G. M. U. P. S. Tanur Town,UPS,Tanur,602,27,22.3,
48415,Kavalamukkatta GLPS,LPS,Nilambur,156,7,22.3,
19429,G. F. L. P. S. Kadalundi,UPS,Parappanangadi,89,4,22.2,
48136,C K H M G.H.S. Edappatta,HS,Melattur,178,8,22.2,
18529,G.M.L.P.S. Manhapatta,LPS,Manjeri,200,9,22.2,
18628,G L P S Pang,LPS,Mankada,111,5,22.2,
19853,GMLPS Koyappa,UPS,Vengara,111,5,22.2,
18583,G.U.P.S. Veembur,UPS,Manjeri,488,22,22.2,
19616,G. M. L. P. S. Korad,LPS,Tanur,266,12,22.2,
18230,GLPS Vilayil Parappur,LPS,Kizhisseri,155,7,22.1,
19436,G. M. L. P. S. Velimukku,UPS,Parappanangadi,155,7,22.1,
48216,GLPS Kuniyil South,LPS,Areacode,242,11,22.0,
48304,G.L.P.S. Cheriparamba,LPS,Melattur,132,6,22.0,
48321,G.L.P.S. Pattikkad,LPS,Melattur,242,11,22.0,
19640,G. M. L. P. S. Tanur North,LPS,Tanur,197,9,21.9,
19635,G. L. P. S. Rayirimangalam East,LPS,Tanur,175,8,21.9,
48244,GMUPS Mundambra,UPS,Areacode,634,29,21.9,
48416,Konamunda GLPS,LPS,Nilambur,153,7,21.9,
19312,G. W. L. P. S. Irimbliyam,LPS,Kuttippuram,109,5,21.8,
18590,GLPS ANAKKOTTUPURAM,LPS,Manjeri,174,8,21.8,
18618,G L P S Mankada,LPS,Mankada,261,12,21.8,
19777,G. U. P. S. Purathupadinjarekkara,UPS,Tirur,368,17,21.6,
19014,GMVHSS Vengara Town,VHSE,Vengara,497,23,21.6,
19319,G. L. P. S. Karaikkad,LPS,Kuttippuram,237,11,21.5,
19348,G. L. P. S. Vadakkumbram,LPS,Kuttippuram,237,11,21.5,
18450,G.M.L.P.S. Kuttasserikulamba,LPS,Malappuram,258,12,21.5,
18640,G L P S Puthanangadi,LPS,Mankada,129,6,21.5,
19225,G. L. P. S. Sukapuram,LPS,Edappal,43,2,21.5,
19611,G. L. P. S. Klari West,LPS,Tanur,86,4,21.5,
18532,G.L.P.S. Manjeri,LPS,Manjeri,365,17,21.5,
18447,G.M.L.P.S. Chappanangadi,LPS,Malappuram,257,12,21.4,
18442,G.L.P.S. Pookottur New,LPS,Malappuram,214,10,21.4,
18563,G.L.P.S. Vettikkattiri,LPS,Manjeri,107,5,21.4,
48466,Nilambur GMUPS,UPS,Nilambur,428,20,21.4,
19838,GMLPS Puthur,LPS,Vengara,128,6,21.3,
18645,G M L P S Vadakkangara,LPS,Mankada,234,11,21.3,
18326,G.M.L.P.S. Kumminiparamba,LPS,Kondotty,170,8,21.2,
19660,G. L. P. S. K.Puram,UPS,Tanur,361,17,21.2,
18562,G.U.P.S. Vettekkode,UPS,Manjeri,318,15,21.2,
18616,G L P S Kuruva,LPS,Mankada,212,10,21.2,
18637,G L P S Pothukundu,LPS,Mankada,106,5,21.2,
18716,GLPS Kunnakkavu,LPS,Perinthalmanna,338,16,21.1,
48515,Kizhakkethala GLPS,LPS,Wandoor,169,8,21.1,
19045,G. H. S. S. Trikkavu,HSS,Ponnani,358,17,21.1,
18139,Govt High School Muthuvallur,HSS,Kizhisseri,315,15,21.0,
18329,G.M.L.P.S. Mapprom,LPS,Kondotty,84,4,21.0,
18568,G.L.P.S. Pookkuth,UPS,Manjeri,210,10,21.0,
18736,GMLPS Puthur,LPS,Perinthalmanna,231,11,21.0,
19246,G. M. U. P. S. Edappal,UPS,Edappal,315,15,21.0,
19556,GLPS Kadavanad,LPS,Ponnani,84,4,21.0,
19830,GLPS Orakam Melmuri,LPS,Vengara,189,9,21.0,
18677,MPGUP SCHOOL VADAKKANGARA,UPS,Mankada,482,23,21.0,
18232,G U P S Cheecode,UPS,Kizhisseri,523,25,20.9,
48435,Pathirippadam GLPS,LPS,Nilambur,167,8,20.9,
19055,G. H. S. S. Veliancode,HSS,Ponnani,83,4,20.8,
48468,Pallikuth GUPS,UPS,Nilambur,289,14,20.6,
19412,G. M. L. P. S. Thirurangadi,LPS,Parappanangadi,206,10,20.6,
19441,G. M. U. P. S. Kakkad,UPS,Parappanangadi,719,35,20.5,
18331,G.L.P.S. Morayur,LPS,Kondotty,205,10,20.5,
18578,G.U.P.S. Pathappiriyam,UPS,Manjeri,715,35,20.4,
19433,G. L. P. S. Parappanangadi,UPS,Parappanangadi,245,12,20.4,
19624,G. M. L. P. S. Panangattur,LPS,Tanur,163,8,20.4,
18531,G.M.L.P.S. Manjeri East,LPS,Manjeri,61,3,20.3,
18388,G.U.P.S. Neerad,UPS,Kondotty,142,7,20.3,
18441,G.L.P.S. Peringottupulam,LPS,Malappuram,81,4,20.2,
19364,G. U. P. S. Painkannur,UPS,Kuttippuram,283,14,20.2,
18523,G.M.L.P.S. Kidangazhi,LPS,Manjeri,303,15,20.2,
19716,G. M. L. P. S. Kuttayi South,LPS,Tirur,101,5,20.2,
18305,G.L.P.S. Arimbra Melmuri,LPS,Kondotty,222,11,20.2,
