School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
Pullippadam GLPS,Wandoor,Nilambur,Wandoor,1 - 4,795.4,State Highway,Kozhikode - Nilmbur - Gudallur Road (SH28,11.24638,76.17012
G. J. B. S. Vattamkulam,Tirur,Edappal,Ponnani,1 - 4,803.9,State Highway,Thrissur – Kuttippuram Road (SH69,10.785135,76.01586
GUPS Maithra,Wandoor,Areacode,Areacode,1 - 7,820.0,State Highway,Quilandy - Thamarassery - Edavanna Road (SH34,11.22801,76.06381
G. H. S. Athavanad,Tirur,Kuttippuram,Kuttippuram,1 -10,829.5,MDR,Vettichira - Kattilangadi Road (MDR,10.89707,76.02314
G H S Kuruka,Thirurangadi,Vengara,Vengara,1 -10,831.0,MDR,Manjammad Kadavu Aproach Road (MDR,11.03964,75.96862
G. L. P. S. Tanur,Thirurangadi,Tanur,,1 - 5,835.0,State Highway,Tippu Sulthan Road (MDR,10.974337,75.8792
G U P S Cholakundu,Thirurangadi,Vengara,Vengara,1 - 7,844.1,MDR,Kottakkal-Vengara Road (Kottakal Road - Vengara Road,11.01839,75.98502
G V H S S Nellikuth,Malappuram,Manjeri,,1 - 12,845.9,MDR,Manjeri-Pandikkad Road (MDR,11.097388,76.182278
GLPS Peruvallur,Thirurangadi,Vengara,Tirurangadi,1 - 4,862.5,MDR,Thenhipalam - Parambil Peedika Road (MDR,11.11383,75.92521
Chokkad Girijan Colony GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,883.9,MDR,Pookkottupadam - Chettippadam - TK Road (MDR,11.235471,76.355498
G. F. U. P. S. Kadavanad,Tirur,Ponnani,,1 - 7,895.4,MDR,Kundukadavu Vellancode Road (MDR,10.754025,75.94154
GLPS Kuzhimanna II South,Malappuram,Kizhisseri,Areacode,1 - 4,907.7,MDR,Manjeri - Kizhisseri Road (MDR,11.16318,76.01003
GLPS Pukayur,Thirurangadi,Vengara,Vengara,1 - 4,916.0,MDR,Tirurangadi Mamburam Makam Road (MDR,11.073853,75.91443
G. L .P. S. Melodiparamba,Thirurangadi,Parappanangadi,Tirurangadi,1 - 4,927.3,MDR,Padikkal - Kondotty Road (MDR,11.106254,75.90489
G L P S Vellila,Malappuram,Mankada,Mankada,1 - 4,940.3,MDR,Kachinikkad - Vellila Road (MDR,11.04219,76.15606
G.L.P.S. Kizhakkuparamba,Malappuram,Manjeri,Malappuram,1 - 4,942.1,MDR,Anakkayam - Oravambram Road (MDR,11.075779,76.18996
GLPS Pavanna,Wandoor,Areacode,Areacode,1 - 4,947.9,State Highway,Quilandy - Thamarassery - Edavanna Road (SH34,11.2204,76.09844
G. F. U. P. S. Palapetty,Tirur,Ponnani,Perumpadappa,1 - 7,955.1,MDR,Para - Kunduchira Road (MDR,10.703471,75.952635
GLPS Pallikunnu,Malappuram,Perinthalmanna,Perinthalmanna,1 - 4,969.3,MDR,Karyavattom - Alanallur Road (MDR,10.99871,76.32037
G. L. P. S. Vadakkumbram,Tirur,Kuttippuram,Kuttippuram,1 - 4,975.0,MDR,Chengundanpadi - Cheenichode - Palakunnu Road (MDR,10.947849,76.077233
G. L. P. S. Maniyankad,Tirur,Kuttippuram,Kuttippuram,1 - 4,994.7,MDR,Puthanathani - Tirunavaya Road (MDR,10.87679,75.99665
G. L. P. S. Nannambra,Thirurangadi,Tanur,Tirurangadi,1 - 4,1003.9,MDR,Athanikkal - Theyyala Road (MDR,10.99566,75.90959
GLPS Kuniyil,Wandoor,Areacode,Areacode,1 - 4,1023.6,State Highway,koyilandy -gudallur - edavanna road (SH34,11.25558,76.01938
G. H. S. S. Trikkavu,Tirur,Ponnani,,1 - 12,1029.3,State Highway,Ponnani-Chavakkad Road,10.778978,75.931124
G.L.P.S. Edappatta,Wandoor,Melattur,Kalikavu,1 - 4,1030.7,State Highway,Perumbilavu-Nilambur Road (SH39,11.08461,76.27665
GMLPS Koomanna,Thirurangadi,Vengara,Tirurangadi,1 - 4,1032.7,MDR,Padikkal - Kondotty Road (MDR,11.0874,75.91355
G. U. P. S. Karingappara,Thirurangadi,Tanur,Tanur,1 - 7,1033.9,MDR,Athanikkal - Theyyala Road (MDR,10.9862,75.94249
G.L.P.S. Valarad,Malappuram,Manjeri,Wandoor,1 - 4,1035.1,State Highway,perinthalmanna - pandikkad Road (SH73,11.08377,76.230474
G. M. L. P. S. Parappuram,Tirur,Kuttippuram,Kuttippuram,1 - 4,1064.3,MDR,Kurukathani-Randathani road (MDR,10.955848,76.000038
